#{"t_start": 1607536640.6441472, "env_id": "fishing-v1"}
r,l,t
0.75,1,1.293971
0.75,1,1.294794
0.75,1,1.29563
0.75,1,1.296459
0.75,1,1.298581
0.75,1,1.300495
0.75,1,1.301324
0.75,1,1.302158
0.75,1,1.303069
0.75,1,1.303917
0.75,1,1.304748
0.75,1,1.305569
0.75,1,1.306401
0.75,1,1.307226
0.75,1,1.308302
0.75,1,1.309378
0.75,1,1.310207
0.75,1,1.316994
0.75,1,1.318301
0.75,1,1.319988
0.75,1,1.321216
0.75,1,1.322739
0.75,1,1.323662
0.75,1,1.32477
0.75,1,1.32574
0.75,1,1.326772
0.75,1,1.327857
0.75,1,1.3289
0.75,1,1.329859
0.75,1,1.33092
0.75,1,1.331874
0.75,1,1.332881
0.75,1,1.333918
0.75,1,1.334767
0.75,1,1.335759
0.75,1,1.336746
0.75,1,1.33773
0.75,1,1.338737
0.75,1,1.339725
0.75,1,1.340826
0.75,1,1.341864
0.75,1,1.342851
0.75,1,1.343854
0.75,1,1.344893
0.75,1,1.345883
0.75,1,1.34686
0.75,1,1.347856
0.75,1,1.348844
0.75,1,1.349837
0.75,1,1.350822
0.75,1,1.351802
0.75,1,1.352846
0.75,1,1.353862
0.75,1,1.354916
0.75,1,1.355955
0.75,1,1.356957
0.75,1,1.35795
0.75,1,1.358921
0.75,1,1.359884
0.75,1,1.360797
0.75,1,1.361739
0.75,1,1.362722
0.75,1,1.363696
0.75,1,1.364672
0.75,1,1.365672
0.75,1,1.366649
0.75,1,1.367712
0.75,1,1.368839
0.75,1,1.36989
0.75,1,1.370879
0.75,1,1.371838
0.75,1,1.3729
0.75,1,1.373907
0.75,1,1.374934
0.75,1,1.376001
0.75,1,1.377043
0.75,1,1.378035
0.75,1,1.379076
0.75,1,1.380532
0.75,1,1.381455
0.75,1,1.382501
0.75,1,1.383515
0.75,1,1.384542
0.75,1,1.385507
0.75,1,1.386461
0.75,1,1.387469
0.75,1,1.388659
0.75,1,1.389779
0.75,1,1.390914
0.75,1,1.391991
0.75,1,1.393043
0.75,1,1.394033
0.75,1,1.395037
0.75,1,1.396138
0.75,1,1.3971
0.75,1,1.398108
0.75,1,1.399164
0.75,1,1.400322
0.75,1,1.401421
0.75,1,1.402451
0.75,1,1.403551
0.75,1,1.404583
0.75,1,1.40549
0.75,1,1.406459
0.75,1,1.407626
0.75,1,1.408828
0.75,1,1.4098
0.75,1,1.410835
0.75,1,1.411804
0.75,1,1.412641
0.75,1,1.413513
0.75,1,1.41436
0.75,1,1.415189
0.75,1,1.416032
0.75,1,1.416882
0.75,1,1.417728
0.75,1,1.418609
0.75,1,1.419462
0.75,1,1.420299
0.75,1,1.421159
0.75,1,1.421991
0.75,1,1.422834
0.75,1,1.423706
0.75,1,1.424536
0.75,1,1.425361
0.75,1,1.426197
0.75,1,1.427019
0.75,1,1.427854
0.75,1,1.428686
0.75,1,1.429531
0.75,1,1.430426
0.75,1,1.431269
0.75,1,1.432111
0.75,1,1.432944
0.75,1,1.433764
0.75,1,1.434589
0.75,1,1.464083
0.75,1,1.465155
0.75,1,1.465971
0.75,1,1.466867
0.75,1,1.468097
0.75,1,1.469312
0.75,1,1.470414
0.75,1,1.471681
0.75,1,1.472766
0.75,1,1.474012
0.75,1,1.475196
0.75,1,1.476466
0.75,1,1.477655
0.75,1,1.47887
0.75,1,1.479933
0.75,1,1.480947
0.75,1,1.482157
0.75,1,1.483522
0.75,1,1.484841
0.75,1,1.486088
0.75,1,1.487254
0.75,1,1.488678
0.75,1,1.489876
0.75,1,1.491052
0.75,1,1.492258
0.75,1,1.493444
0.75,1,1.494627
0.75,1,1.495845
