,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
83,83,446.125759,2020-12-19 21:25:13.211514,2020-12-19 22:05:16.116431,0 days 00:40:02.904917,256,100000,False,0.98,2.2499993695718154e-05,medium,0.17136340764859626,normal,0.01,1000.0,COMPLETE
84,84,446.125759,2020-12-19 22:05:16.136109,2020-12-19 22:44:27.854548,0 days 00:39:11.718439,16,100000,False,0.99,0.02910825078066329,big,0.094846340004904,,0.001,16.0,COMPLETE
85,85,446.125759,2020-12-19 22:44:27.872870,2020-12-19 23:25:48.309416,0 days 00:41:20.436546,256,10000,False,0.95,1.0090854045234483e-05,medium,0.17549919541565973,normal,0.005,1.0,COMPLETE
86,86,446.125759,2020-12-19 23:25:48.328787,2020-12-20 00:05:05.611621,0 days 00:39:17.282834,16,1000000,False,0.99,0.0239395136859669,big,0.42134083684870804,ornstein-uhlenbeck,0.005,2000.0,COMPLETE
87,87,446.125759,2020-12-20 00:05:05.631434,2020-12-20 00:45:23.985049,0 days 00:40:18.353615,100,10000,True,0.9999,4.77474613359759e-05,big,0.12258231395243446,,0.02,,COMPLETE
88,88,446.125759,2020-12-20 00:45:24.017413,2020-12-20 01:26:13.365527,0 days 00:40:49.348114,256,100000,False,0.9,0.0003942141054756024,big,0.9267888926514738,ornstein-uhlenbeck,0.005,1.0,COMPLETE
89,89,446.125759,2020-12-20 01:26:13.384129,2020-12-20 02:05:47.127717,0 days 00:39:33.743588,256,1000000,False,0.999,0.30394900261886576,small,0.7366757281110992,ornstein-uhlenbeck,0.001,128.0,COMPLETE
90,90,446.125759,2020-12-20 02:05:47.159690,2020-12-20 02:45:41.637982,0 days 00:39:54.478292,512,100000,True,0.99,0.0022943521808226216,medium,0.2664834316364667,normal,0.01,,COMPLETE
91,91,446.125759,2020-12-20 02:45:41.657759,2020-12-20 03:26:27.116257,0 days 00:40:45.458498,64,10000,False,0.99,0.18427974963021948,big,0.369163073211505,ornstein-uhlenbeck,0.001,1000.0,COMPLETE
92,92,446.125759,2020-12-20 03:26:27.134383,2020-12-20 04:05:23.588813,0 days 00:38:56.454430,128,1000000,True,0.99,0.002288562079709916,small,0.5033347257282026,ornstein-uhlenbeck,0.02,,COMPLETE
93,93,446.125759,2020-12-20 04:05:23.619669,2020-12-20 04:44:10.447655,0 days 00:38:46.827986,32,1000000,True,0.95,5.863089786069258e-05,small,0.38446718455761564,ornstein-uhlenbeck,0.02,,COMPLETE
94,94,446.125759,2020-12-20 04:44:10.465910,2020-12-20 05:24:27.419373,0 days 00:40:16.953463,128,10000,True,0.95,0.8247163930838546,medium,0.4455723901714135,ornstein-uhlenbeck,0.001,,COMPLETE
95,95,446.125759,2020-12-20 05:24:27.439044,2020-12-20 06:03:18.683690,0 days 00:38:51.244646,128,100000,True,0.9,5.63353629875059e-05,small,0.8473819338543624,,0.02,,COMPLETE
96,96,446.125759,2020-12-20 06:03:18.704366,2020-12-20 06:42:56.317669,0 days 00:39:37.613303,512,10000,False,0.9999,1.751190224981836e-05,big,0.07567361350566582,ornstein-uhlenbeck,0.02,1000.0,COMPLETE
97,97,446.125759,2020-12-20 06:42:56.338033,2020-12-20 07:22:01.548633,0 days 00:39:05.210600,64,10000,False,0.9,0.0002799295538343767,small,0.6795023549555497,normal,0.01,1000.0,COMPLETE
98,98,446.125759,2020-12-20 07:22:01.568753,2020-12-20 08:02:26.832358,0 days 00:40:25.263605,64,10000,True,0.98,2.7453950455657727e-05,medium,0.0006833636252326913,,0.01,,COMPLETE
99,99,446.125759,2020-12-20 08:02:26.864685,2020-12-20 08:42:01.091105,0 days 00:39:34.226420,16,1000000,True,0.98,0.0016243588943858098,big,0.40268694856257925,normal,0.005,,COMPLETE
100,100,446.125759,2020-12-20 08:42:01.122417,2020-12-20 09:21:22.627757,0 days 00:39:21.505340,512,100000,False,0.98,0.0009851290004742803,small,0.12907144777113533,,0.005,2000.0,COMPLETE
101,101,446.125759,2020-12-20 09:21:22.647431,2020-12-20 10:01:29.159378,0 days 00:40:06.511947,512,1000000,False,0.99,2.5960632922760916e-05,medium,0.7714676950373903,ornstein-uhlenbeck,0.001,256.0,COMPLETE
102,102,446.125759,2020-12-20 10:01:29.179214,2020-12-20 10:41:12.945158,0 days 00:39:43.765944,16,100000,True,0.9999,0.5603673723084034,big,0.40852616552549503,,0.01,,COMPLETE
103,103,446.125759,2020-12-20 10:41:12.975350,2020-12-20 11:21:19.729577,0 days 00:40:06.754227,32,1000000,True,0.98,0.00011903963617409639,big,0.8420099111748076,normal,0.001,,COMPLETE
104,104,446.125759,2020-12-20 11:21:19.749883,2020-12-20 12:02:10.367136,0 days 00:40:50.617253,512,100000,False,0.98,0.04677160359715787,big,0.3941453056451151,normal,0.01,1.0,COMPLETE
105,105,446.125759,2020-12-20 12:02:10.386195,2020-12-20 12:43:38.162963,0 days 00:41:27.776768,256,100000,False,0.9,0.28984603156823274,medium,0.1254876112222575,normal,0.001,1.0,COMPLETE
106,106,446.125759,2020-12-20 12:43:38.181265,2020-12-20 13:22:38.346835,0 days 00:39:00.165570,32,10000,False,0.98,4.472349306565757e-05,small,0.49132909305382066,normal,0.01,2000.0,COMPLETE
107,107,446.125759,2020-12-20 13:22:38.368506,2020-12-20 14:01:54.063925,0 days 00:39:15.695419,512,100000,True,0.999,0.40312376409879663,small,0.4627602672796721,,0.02,,COMPLETE
108,108,446.125759,2020-12-20 14:01:54.097278,2020-12-20 14:41:27.079744,0 days 00:39:32.982466,512,1000000,True,0.9999,0.00012353708377513563,small,0.06370587646374937,,0.001,,COMPLETE
109,109,446.125759,2020-12-20 14:41:27.111027,2020-12-20 15:23:13.560891,0 days 00:41:46.449864,128,1000000,False,0.999,0.023287990966026677,medium,0.27372730263182843,,0.02,1.0,COMPLETE
110,110,446.125759,2020-12-20 15:23:13.577222,2020-12-20 16:03:51.748580,0 days 00:40:38.171358,128,100000,False,0.9999,0.0003175215496641481,big,0.11883430147506346,,0.005,1000.0,COMPLETE
111,111,446.125759,2020-12-20 16:03:51.769581,2020-12-20 16:44:29.794434,0 days 00:40:38.024853,100,1000000,True,0.9999,0.36505391660812186,medium,0.9494941801233091,normal,0.001,,COMPLETE
112,112,446.125759,2020-12-20 16:44:29.826705,2020-12-20 17:25:34.170827,0 days 00:41:04.344122,512,10000,False,0.9999,0.0002595007749610289,medium,0.07023003533938077,,0.02,1.0,COMPLETE
113,113,446.125759,2020-12-20 17:25:34.189100,2020-12-20 18:05:22.137602,0 days 00:39:47.948502,32,10000,False,0.99,0.002836366020914357,big,0.1776621780181118,ornstein-uhlenbeck,0.001,1000.0,COMPLETE
114,114,446.125759,2020-12-20 18:05:22.159970,2020-12-20 18:45:08.310014,0 days 00:39:46.150044,32,100000,False,0.995,9.085648096266577e-05,medium,0.3343845610170546,,0.005,256.0,COMPLETE
115,115,446.125759,2020-12-20 18:45:08.329345,2020-12-20 19:24:47.849124,0 days 00:39:39.519779,32,100000,True,0.9999,0.007162411920710983,small,0.8706063561405047,normal,0.001,,COMPLETE
116,116,446.125759,2020-12-20 19:24:47.882636,2020-12-20 20:05:12.328014,0 days 00:40:24.445378,64,10000,False,0.9,0.0009897009273485938,medium,0.7678791981502608,ornstein-uhlenbeck,0.01,1000.0,COMPLETE
117,117,446.125759,2020-12-20 20:05:12.348437,2020-12-20 20:44:55.865329,0 days 00:39:43.516892,16,1000000,False,0.9999,0.0008818578977324983,big,0.9971036710152403,normal,0.005,1000.0,COMPLETE
118,118,446.125759,2020-12-20 20:44:55.899397,2020-12-20 21:24:47.399127,0 days 00:39:51.499730,512,1000000,False,0.995,0.01477849520290474,small,0.10514185626812211,normal,0.02,128.0,COMPLETE
119,119,446.125759,2020-12-20 21:24:47.419134,2020-12-20 22:03:55.926426,0 days 00:39:08.507292,128,10000,True,0.95,0.07706324804944259,small,0.2016015577072059,ornstein-uhlenbeck,0.005,,COMPLETE
120,120,446.125759,2020-12-20 22:03:55.958909,2020-12-20 22:44:00.272959,0 days 00:40:04.314050,512,1000000,True,0.9999,0.030523387333982743,medium,0.3331010404462603,ornstein-uhlenbeck,0.005,,COMPLETE
121,121,446.125759,2020-12-20 22:44:00.293120,2020-12-20 23:24:52.527613,0 days 00:40:52.234493,128,10000,False,0.98,0.0003010784978744532,small,0.3017750055033195,ornstein-uhlenbeck,0.02,1.0,COMPLETE
