,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,system_attrs_fail_reason,state
49,49,30.012802399999998,2021-01-01 20:52:26.000463,2021-01-01 21:11:35.474375,0 days 00:19:09.473912,tanh,0.03399725765003838,0.99,0.9999,-3.7563294007002552,0.00047222298949480435,constant,5.0,16,medium,True,True,False,0.8419509985474035,,COMPLETE
50,50,27.446790800000002,2021-01-01 20:56:19.789963,2021-01-01 21:12:46.500214,0 days 00:16:26.710251,tanh,0.0416780514596217,0.99,0.9999,-3.7628030238372636,0.00047750523926132893,constant,5.0,32,medium,True,True,False,0.5849577977373414,,COMPLETE
51,51,23.1712034,2021-01-01 21:07:55.854048,2021-01-01 21:25:04.704346,0 days 00:17:08.850298,tanh,0.0003513410329808816,0.99,0.9999,-2.32962521610006,0.0005229253482323363,constant,5.0,32,medium,True,True,False,0.9526369909769599,,COMPLETE
52,52,31.492363599999997,2021-01-01 21:11:28.047479,2021-01-01 21:31:47.371032,0 days 00:20:19.323553,tanh,0.0003634559912959641,0.99,0.9999,-3.748503736691439,0.0017071725617970545,constant,2.0,16,medium,True,True,False,0.63384703452564,,COMPLETE
53,53,38.8384826,2021-01-01 21:11:35.508080,2021-01-01 21:26:42.982592,0 days 00:15:07.474512,relu,0.0003267554953452197,0.99,0.99,-2.371784242113425,0.04431858242663611,linear,2.0,128,medium,True,True,False,0.5666265996180662,,COMPLETE
54,54,24.555275,2021-01-01 21:12:46.534809,2021-01-01 21:27:57.104847,0 days 00:15:10.570038,tanh,6.429521647571486e-05,0.99,0.98,-3.2213559141505423,0.04171396940451462,constant,2.0,128,medium,True,True,False,0.4207582036885542,,COMPLETE
55,55,32.208715600000005,2021-01-01 21:25:04.736575,2021-01-01 21:40:51.639780,0 days 00:15:46.903205,tanh,6.657243680537435e-05,0.99,0.98,-3.1902837556601695,0.0018225595081546768,constant,2.0,128,medium,True,True,False,0.4830552122698701,,COMPLETE
56,56,34.5281958,2021-01-01 21:26:43.015836,2021-01-01 21:42:07.515647,0 days 00:15:24.499811,relu,0.000366392923884007,0.99,0.99,-3.1743985615609613,0.034897940814636465,linear,2.0,128,medium,True,True,False,0.46053116398727784,,COMPLETE
57,57,32.857959799999996,2021-01-01 21:27:57.137529,2021-01-01 21:42:47.495738,0 days 00:14:50.358209,relu,0.00030621689072994883,0.99,0.99,-2.606412629419104,0.007651802237148135,linear,2.0,128,medium,True,True,False,0.5039987145890372,,COMPLETE
58,58,30.328741200000003,2021-01-01 21:31:47.404553,2021-01-01 21:36:35.428833,0 days 00:04:48.024280,relu,0.0012228464903872322,0.8,0.99,-2.720233831405444,0.09932453731820494,linear,2.0,128,medium,True,True,False,0.45503477807768095,,PRUNED
59,59,32.215271,2021-01-01 21:36:35.443065,2021-01-01 21:44:57.686407,0 days 00:08:22.243342,relu,0.00023026351980737106,0.99,0.99,-2.026412237987625,0.007446522138811935,linear,0.3,128,medium,True,True,False,0.5351793165839986,,COMPLETE
60,60,-854.4036991999999,2021-01-18 21:52:35.706595,2021-01-18 22:00:48.400570,0 days 00:08:12.693975,relu,7.443102552606216e-06,0.98,0.9,-3.1069304278973,3.3688515759883505e-05,constant,0.3,2048,small,True,True,True,0.0,,PRUNED
61,61,-860.7314342,2021-01-18 21:52:35.730252,2021-01-18 22:00:48.867965,0 days 00:08:13.137713,relu,1.0000000002146319e-08,0.92,0.995,0.999999999784281,1e-05,constant,0.3,2048,small,True,True,False,0.5223236492158736,,PRUNED
62,62,45.764146,2021-01-18 21:52:35.746051,2021-01-18 22:18:30.753128,0 days 00:25:55.007077,relu,9.814958594505634e-08,0.8,0.9,-3.3779828307974067,0.030987947696237944,constant,0.3,2048,medium,True,True,False,0.7490912894847505,,COMPLETE
63,63,41.764269,2021-01-18 21:52:35.758409,2021-01-18 22:18:14.383368,0 days 00:25:38.624959,relu,5.122813936556941e-07,0.92,0.9,-2.762495379718639,0.7718744602655395,constant,0.3,2048,small,True,True,False,0.0936895378436127,,COMPLETE
64,64,-861.4897272000001,2021-01-18 22:00:48.437622,2021-01-18 22:08:26.763311,0 days 00:07:38.325689,relu,1e-08,0.92,0.9,-4.0,1e-05,constant,0.9,2048,small,True,True,True,0.20422113635043304,,PRUNED
65,65,-4243.4083246,2021-01-18 22:00:48.898938,2021-01-18 22:37:06.903925,0 days 00:36:18.004987,relu,2.0788545815651812e-07,1.0,0.9,-4.0,0.19583954009468255,linear,5.0,8,small,True,True,False,0.9999999999999999,,COMPLETE
66,66,-785.2064048,2021-01-18 22:08:26.815769,2021-01-18 22:16:04.288538,0 days 00:07:37.472769,relu,0.09999999999456513,0.98,0.9,0.9999999998543849,0.0002740941167964011,constant,0.3,2048,small,True,True,True,2.413718807349833e-11,,PRUNED
67,67,43.669702400000006,2021-01-18 22:16:04.321198,2021-01-18 22:48:33.158217,0 days 00:32:28.837019,relu,1.2269599269827416e-08,0.98,0.9,-0.9996033930525647,0.00017048225406723162,linear,0.6,8,medium,True,True,True,0.9999999999999999,,COMPLETE
68,68,-573.6819297999999,2021-01-18 22:18:14.454179,2021-01-18 22:25:20.967952,0 days 00:07:06.513773,relu,1.0041861984034669e-08,1.0,0.9999,-3.9854048493095178,1e-05,linear,1.0,2048,medium,False,False,True,0.9998543504354022,,PRUNED
69,69,-862.0788001999999,2021-01-18 22:18:30.844094,2021-01-18 22:25:39.670095,0 days 00:07:08.826001,relu,1e-08,0.99,0.9,-3.732842308292118,1e-05,constant,0.8,2048,medium,False,True,False,0.7388699253043666,,PRUNED
70,70,-857.4094364,2021-01-18 22:25:21.000961,2021-01-18 22:32:30.058342,0 days 00:07:09.057381,relu,1e-08,0.8,0.9,0.37898009597865734,1e-05,constant,0.7,2048,medium,False,True,True,0.18190948812514096,,PRUNED
71,71,-858.4150984,2021-01-18 22:25:39.702691,2021-01-18 22:32:40.992156,0 days 00:07:01.289465,relu,1e-08,0.8,0.9,-4.0,1e-05,constant,0.3,2048,medium,True,True,True,0.9999999999999999,,PRUNED
72,72,-715.0334081999999,2021-01-18 22:32:30.071525,2021-01-18 22:39:42.789784,0 days 00:07:12.718259,relu,1e-08,0.92,0.9,0.7252164137272752,0.00047819162445237803,constant,0.3,2048,medium,True,True,True,0.9211474759763285,,PRUNED
73,73,-785.969509,2021-01-18 22:32:41.024928,2021-01-18 22:39:46.391621,0 days 00:07:05.366693,relu,1e-08,0.95,0.9,0.5827212107923163,0.0021129134675423843,constant,0.5,2048,small,True,True,False,0.9999999999999999,,PRUNED
74,74,-797.7591246000001,2021-01-18 22:37:06.977355,2021-01-18 22:44:24.355690,0 days 00:07:17.378335,relu,0.09999999999999999,1.0,0.9,-4.0,1e-05,constant,0.3,32,medium,True,True,True,0.9531523596571082,,PRUNED
75,75,40.2262742,2021-01-18 22:39:42.809954,2021-01-18 23:10:25.645475,0 days 00:30:42.835521,relu,0.09999999999999999,0.95,0.9999,-3.9999907612890535,0.6074504336402436,linear,0.3,8,small,False,False,True,0.0015715857174725283,,COMPLETE
76,76,,2021-01-18 22:39:46.402201,2021-01-18 22:48:34.294810,0 days 00:08:47.892609,relu,0.09261941850897577,1.0,0.9999,0.7554023419169669,0.9999999999999999,linear,5.0,8,small,False,False,True,0.0471009402862276,,PRUNED
77,77,50.1409448,2021-01-18 22:44:24.396631,2021-01-18 23:15:58.093941,0 days 00:31:33.697310,tanh,0.09999999999999999,0.8,0.9999,0.9999999999999999,1e-05,constant,0.3,8,small,False,False,True,0.9999999999999999,,COMPLETE
78,78,47.73323559999999,2021-01-18 22:48:33.192253,2021-01-18 23:19:57.552541,0 days 00:31:24.360288,relu,0.09999999991705867,1.0,0.9999,0.9999999999999999,0.023909228532598983,linear,0.6,8,small,False,False,True,0.0,,COMPLETE
79,79,-796.6945174,2021-01-18 22:48:34.306056,2021-01-18 22:55:48.263812,0 days 00:07:13.957756,relu,0.09999999999999999,1.0,0.9,-4.0,1e-05,constant,0.3,32,medium,True,True,True,0.9819342037223092,,PRUNED
80,80,48.511473800000005,2021-01-18 22:55:48.282642,2021-01-18 23:18:11.220258,0 days 00:22:22.937616,relu,0.099999999866729,0.8,0.9999,-3.999999997819337,0.9999999960362791,linear,5.0,2048,small,False,False,True,0.9999999996178953,,COMPLETE
81,81,-863.6538152,2021-01-18 23:10:25.739595,2021-01-18 23:17:36.951852,0 days 00:07:11.212257,relu,0.09999835049871895,1.0,0.9999,-4.0,1.000055150647088e-05,constant,5.0,512,small,False,True,True,0.9999895946574029,,PRUNED
82,82,-311.7083012,2021-01-18 23:15:58.227099,2021-01-18 23:26:05.362022,0 days 00:10:07.134923,relu,0.09999999999999999,1.0,0.9,-4.0,1e-05,constant,0.3,8,medium,True,True,True,0.9999999999999999,,PRUNED
83,83,-1035.7359536,2021-01-18 23:17:36.996983,2021-01-18 23:24:30.831288,0 days 00:06:53.834305,relu,1.0013944514342298e-08,0.8,0.9,0.9999406283050511,1.0004720661553114e-05,linear,5.0,2048,small,True,False,False,0.999972051012666,,PRUNED
84,84,-297.86072279999996,2021-01-18 23:18:11.305619,2021-01-18 23:28:26.265169,0 days 00:10:14.959550,relu,0.09999999999999999,1.0,0.9,-4.0,1e-05,constant,0.3,8,medium,True,True,True,0.9999999999999999,,PRUNED
85,85,-703.4291593999999,2021-01-18 23:19:57.662265,2021-01-18 23:27:03.112121,0 days 00:07:05.449856,relu,0.024587938892333797,1.0,0.999,0.9999999999999999,1e-05,linear,5.0,2048,small,False,False,True,0.9999999999999999,,PRUNED
86,86,-860.8817188,2021-01-18 23:24:30.859817,2021-01-18 23:32:18.393308,0 days 00:07:47.533491,relu,0.09999999999999999,1.0,0.9999,0.9999999999999999,1e-05,linear,5.0,2048,small,False,False,True,0.9999999999999999,,PRUNED
