,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
61,61,0.75,2020-11-19 22:46:10.969178,2020-11-19 22:48:15.925752,0 days 00:02:04.956574,tanh,0.0003380262491828634,1.0,0.95,-1.368032214563121,1.4301489799718671e-05,constant,0.6,8.0,medium,False,False,True,0.7038192479298835,PRUNED
62,62,0.75,2020-11-19 22:46:12.155620,2020-11-19 22:50:13.800028,0 days 00:04:01.644408,relu,1.0105566549068695e-08,1.0,0.99,0.048325041067807994,0.017455232668500718,constant,2.0,64.0,medium,False,True,False,0.16495270015680197,COMPLETE
63,63,1.2396340370178223,2020-11-19 22:46:19.701103,2020-11-19 22:52:34.731469,0 days 00:06:15.030366,tanh,0.033891149605558966,0.92,0.999,0.6991410851941238,0.0020853223285930127,constant,1.0,8.0,medium,False,True,True,0.5626150639042041,COMPLETE
64,64,0.75,2020-11-19 22:48:15.946240,2020-11-19 22:49:58.696323,0 days 00:01:42.750083,tanh,1.2332811911767652e-06,0.99,0.9999,0.6800462859209784,0.025977024137367098,constant,5.0,16.0,small,True,True,False,0.4631628180320255,PRUNED
65,65,0.75,2020-11-19 22:49:58.717209,2020-11-19 22:51:19.611970,0 days 00:01:20.894761,tanh,1.022038953292025e-08,0.98,0.995,-2.8819601763433136,1.6454925911349523e-05,linear,0.7,2048.0,medium,True,False,False,0.9027861793284266,PRUNED
66,66,0.75,2020-11-19 22:50:13.838786,2020-11-19 22:51:35.491705,0 days 00:01:21.652919,tanh,6.452622314828893e-07,0.95,0.9,-1.5813097484162855,3.6428927946684266e-05,constant,0.5,2048.0,medium,False,True,True,0.43832991049024694,PRUNED
67,67,0.0,2020-11-19 22:51:19.628583,2020-11-19 22:53:06.380645,0 days 00:01:46.752062,tanh,9.487837101684326e-05,0.99,0.995,0.4251417857258257,0.051020259911461904,linear,5.0,64.0,small,False,True,True,0.6562938192790665,PRUNED
68,68,0.75,2020-11-19 22:51:35.511058,2020-11-19 22:52:56.358038,0 days 00:01:20.846980,relu,0.007983002998967955,0.9,0.9999,-2.98766836403884,0.0016109907191411861,linear,0.5,1024.0,medium,True,True,False,0.47699098725221123,PRUNED
69,69,6.990760803222656,2020-11-19 22:52:34.759204,2020-11-19 22:56:47.814264,0 days 00:04:13.055060,tanh,0.0005846664829053074,1.0,0.98,-0.06775490603498024,0.0002598833504182212,linear,2.0,256.0,small,True,False,False,0.9666612614817905,COMPLETE
70,70,0.75,2020-11-19 22:52:56.377518,2020-11-19 22:54:20.420729,0 days 00:01:24.043211,tanh,7.926598024870748e-06,0.9,0.98,-2.2184932442311243,4.2744810118742295e-05,linear,0.6,256.0,medium,True,False,False,0.6180094005422331,PRUNED
71,71,1.0959241390228271,2020-11-19 22:53:06.402572,2020-11-19 22:55:53.848705,0 days 00:02:47.446133,tanh,8.762883864498021e-05,1.0,0.99,0.0652329464957857,0.0021250843239534333,constant,0.3,32.0,medium,True,False,True,0.5433384193154215,PRUNED
72,72,0.75,2020-11-19 22:54:20.440270,2020-11-19 22:55:53.086115,0 days 00:01:32.645845,relu,0.0003442569210456744,0.8,0.99,0.14837325708260174,0.13686049166810177,linear,0.9,512.0,small,False,True,False,0.377839165793872,PRUNED
73,73,0.0,2020-11-19 22:55:53.105571,2020-11-19 22:57:06.688684,0 days 00:01:13.583113,relu,0.0001230891996712108,0.8,0.9,-1.877834025418501,0.9770655311888172,linear,0.3,1024.0,medium,False,True,True,0.9521592201373511,PRUNED
74,74,0.75,2020-11-19 22:55:53.868470,2020-11-19 22:57:09.370321,0 days 00:01:15.501851,tanh,4.1893874532758683e-07,0.9,0.995,-2.5320122921849735,0.0003585461888080331,linear,0.5,128.0,medium,True,False,False,0.17629951247333997,PRUNED
75,75,0.75,2020-11-19 22:56:47.850258,2020-11-19 22:58:02.485594,0 days 00:01:14.635336,tanh,4.9910498418890585e-06,0.9,0.98,-2.1177965248511477,0.0784684818674851,constant,0.5,256.0,medium,False,True,True,0.6453883953226991,PRUNED
76,76,0.75,2020-11-19 22:57:06.709528,2020-11-19 22:58:44.999101,0 days 00:01:38.289573,relu,0.0023316787689525026,0.8,0.995,-3.724775257066227,0.09639302283700026,linear,1.0,16.0,medium,True,False,True,0.9445255379607457,PRUNED
77,77,0.75,2020-11-19 22:57:09.387795,2020-11-19 22:58:23.225181,0 days 00:01:13.837386,relu,1.6708251103486725e-05,1.0,0.95,-1.2803362526062507,0.012523166169929347,constant,0.3,512.0,small,False,False,False,0.058631359214616596,PRUNED
78,78,0.75,2020-11-19 22:58:02.502755,2020-11-19 22:59:22.171446,0 days 00:01:19.668691,relu,7.775282885211625e-08,0.92,0.9,-3.639489981208189,4.382163448853981e-05,linear,1.0,64.0,small,True,False,False,0.536235359747379,PRUNED
79,79,0.75,2020-11-19 22:58:23.244722,2020-11-19 22:59:42.252336,0 days 00:01:19.007614,relu,0.0075670920492941504,0.92,0.95,0.4529920607635036,4.050587632319508e-05,linear,0.5,64.0,medium,False,True,False,0.24331520153973374,PRUNED
80,80,0.75,2020-11-19 22:58:45.017389,2020-11-19 22:59:59.160845,0 days 00:01:14.143456,relu,3.1065420555227146e-05,0.99,0.98,-1.9146437206211222,0.003165284081907609,constant,0.3,128.0,small,True,False,True,0.23701592161660134,PRUNED
81,81,0.75,2020-11-19 22:59:22.190358,2020-11-19 23:01:21.511289,0 days 00:01:59.320931,relu,0.0002553873187611809,0.9,0.999,-2.9521444590889896,0.0003646889577185164,linear,2.0,8.0,medium,False,False,False,0.11590122137911407,PRUNED
