,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
58,58,7.751892,2021-06-02 23:28:17.301782,2021-06-03 01:15:04.982020,0 days 01:46:47.680238,1024,1000000,True,0.98,0.00026109592900109077,small,0.08910316824493772,ornstein-uhlenbeck,0.005,,COMPLETE
59,59,0.75,2021-06-02 23:47:47.215956,2021-06-03 01:40:53.075036,0 days 01:53:05.859080,1024,1000000,True,0.98,0.002018653919509922,medium,0.4465222167707602,ornstein-uhlenbeck,0.001,,COMPLETE
60,60,7.627447999999999,2021-06-02 23:50:36.601617,2021-06-03 01:48:33.582881,0 days 01:57:56.981264,1024,1000000,True,0.98,0.0002921381815354652,medium,0.09456059234946712,ornstein-uhlenbeck,0.001,,COMPLETE
61,61,0.75,2021-06-03 00:26:18.391978,2021-06-03 02:18:09.458520,0 days 01:51:51.066542,1024,1000000,True,0.98,0.0003042631579270576,big,0.7170164651733113,ornstein-uhlenbeck,0.001,,COMPLETE
62,62,7.31538,2021-06-03 01:15:05.019924,2021-06-03 03:04:36.595925,0 days 01:49:31.576001,1024,1000000,True,0.98,0.0003656230814102972,medium,0.07854497793736212,ornstein-uhlenbeck,0.001,,COMPLETE
63,63,0.75,2021-06-03 01:40:53.096180,2021-06-03 03:32:57.719634,0 days 01:52:04.623454,1024,1000000,True,0.98,0.0003888487873228763,big,0.6976263157971794,ornstein-uhlenbeck,0.005,,COMPLETE
64,64,,2021-06-03 01:48:33.616212,,,1024,1000000,True,0.98,0.00036931409587749695,medium,0.6958954437799226,ornstein-uhlenbeck,0.001,,RUNNING
65,65,,2021-06-03 02:18:09.482899,,,1024,1000000,True,0.98,0.0001200062525027079,medium,0.12434831231369056,ornstein-uhlenbeck,0.005,,RUNNING
66,66,,2021-06-03 03:04:36.621384,,,1024,1000000,True,0.98,0.00018552937932414927,medium,0.12646850175390584,ornstein-uhlenbeck,0.001,,RUNNING
67,67,,2021-06-03 03:32:57.742525,,,1024,1000000,True,0.98,0.0001532244473252778,medium,0.19581198369920033,ornstein-uhlenbeck,0.001,,RUNNING
68,68,,2021-06-03 17:59:01.580364,,,1024,1000000,True,0.98,0.0001074557516066211,medium,0.11313400678603236,ornstein-uhlenbeck,0.001,,RUNNING
69,69,,2021-06-03 17:59:01.595192,,,1024,1000000,True,0.98,0.0001951070467962713,medium,0.003142811798581807,ornstein-uhlenbeck,0.001,,RUNNING
70,70,,2021-06-03 17:59:01.606190,,,1024,1000000,True,0.98,0.00016266909692758604,medium,0.1145878536250119,ornstein-uhlenbeck,0.001,,RUNNING
71,71,,2021-06-03 17:59:01.619458,,,1024,1000000,True,0.98,0.00012201116272920692,medium,0.09659107304505987,ornstein-uhlenbeck,0.001,,RUNNING
72,72,7.32381,2021-06-03 19:17:05.841704,2021-06-03 19:42:12.483667,0 days 00:25:06.641963,1024,1000000,True,0.98,0.00013569720742029041,medium,0.10429403250573943,ornstein-uhlenbeck,0.001,,COMPLETE
