#{"t_start": 1605916160.06421, "env_id": "fishing-v1"}
r,l,t
0.75,1,4.163031
0.75,1,4.165096
0.75,1,4.167236
0.75,1,4.169182
0.75,1,4.171072
0.75,1,4.17293
0.75,1,4.175405
0.75,1,4.177584
0.75,1,4.179405
0.75,1,4.181203
0.75,1,4.183466
0.75,1,4.185746
0.75,1,4.187567
0.75,1,4.189589
0.75,1,4.191594
0.75,1,4.193465
0.75,1,4.195557
0.75,1,4.197682
0.75,1,4.19968
0.75,1,4.201872
0.75,1,4.204711
0.75,1,4.206615
0.75,1,4.208642
0.75,1,4.210521
0.75,1,4.21231
0.75,1,4.214342
0.75,1,4.216369
0.75,1,4.218154
0.75,1,4.219882
0.75,1,4.222177
0.75,1,4.224328
0.75,1,4.226576
0.75,1,4.22839
0.75,1,4.230691
0.75,1,4.232836
0.75,1,4.234698
0.75,1,4.236483
0.75,1,4.238595
0.75,1,4.240237
0.75,1,4.241951
0.75,1,4.243654
0.75,1,4.245496
0.75,1,4.247378
0.75,1,4.249629
0.75,1,4.251457
0.75,1,4.25337
0.75,1,4.255396
0.75,1,4.257612
0.75,1,4.259806
0.75,1,4.261539
0.75,1,4.263445
0.75,1,4.265496
0.75,1,4.26722
0.75,1,4.269155
0.75,1,4.271278
0.75,1,4.273359
0.75,1,4.275291
0.75,1,4.277525
0.75,1,4.279725
0.75,1,4.28155
0.75,1,4.283632
0.75,1,4.285009
0.75,1,4.286929
0.75,1,4.288849
0.75,1,4.290567
0.75,1,4.292795
0.75,1,4.295062
0.75,1,4.297552
0.75,1,4.299839
0.75,1,4.301622
0.75,1,4.303899
0.75,1,4.305869
0.75,1,4.307754
0.75,1,4.309516
0.75,1,4.311398
0.75,1,4.313583
0.75,1,4.315529
0.75,1,4.31737
0.75,1,4.319424
0.75,1,4.321533
0.75,1,4.323575
0.75,1,4.325241
0.75,1,4.327122
0.75,1,4.328927
0.75,1,4.33089
0.75,1,4.333245
0.75,1,4.335345
0.75,1,4.337322
0.75,1,4.339151
0.75,1,4.341008
0.75,1,4.342828
0.75,1,4.344527
0.75,1,4.34648
0.75,1,4.34852
0.75,1,4.350387
0.75,1,4.352303
0.75,1,4.354239
0.75,1,4.356219
0.75,1,4.35835
0.75,1,4.36062
0.75,1,4.362786
0.75,1,4.364867
0.75,1,4.367072
0.75,1,4.368935
0.75,1,4.370862
0.75,1,4.372799
0.75,1,4.374951
0.75,1,4.376877
0.75,1,4.379002
0.75,1,4.381284
0.75,1,4.38347
0.75,1,4.385498
0.75,1,4.387599
0.75,1,4.38942
0.75,1,4.39117
0.75,1,4.392985
0.75,1,4.395206
0.75,1,4.397099
0.75,1,4.399152
0.75,1,4.401522
0.75,1,4.403653
0.75,1,4.405928
0.75,1,4.408371
0.75,1,4.410311
0.75,1,4.412844
0.75,1,4.414826
0.75,1,4.417018
0.75,1,4.419279
0.75,1,4.421104
0.75,1,4.423019
0.75,1,4.424831
0.75,1,4.426959
0.75,1,4.429301
0.75,1,4.431469
0.75,1,4.43363
0.75,1,4.435845
0.75,1,4.437924
0.75,1,4.440366
0.75,1,4.442492
0.75,1,4.444364
0.75,1,4.446191
0.75,1,4.448212
0.75,1,4.450322
0.75,1,4.452394
0.75,1,4.454406
0.75,1,4.456618
0.75,1,4.458595
0.75,1,4.460399
0.75,1,4.462538
0.75,1,4.46457
0.75,1,4.466973
0.75,1,4.469118
0.75,1,4.470995
0.75,1,4.473051
0.75,1,4.474792
0.75,1,4.476802
0.75,1,4.478636
0.75,1,4.480463
0.75,1,4.482904
0.75,1,4.48497
0.75,1,4.48674
0.75,1,4.488703
0.75,1,4.490909
0.75,1,4.492779
0.75,1,4.494941
0.75,1,4.497388
0.75,1,4.499372
0.75,1,4.50138
0.75,1,4.503515
0.75,1,4.505603
0.75,1,4.507486
0.75,1,4.509738
0.75,1,4.512057
0.75,1,4.514168
0.75,1,4.516134
0.75,1,4.518185
0.75,1,4.52026
0.75,1,4.522453
0.75,1,4.524741
0.75,1,4.526925
0.75,1,4.528887
0.75,1,4.530686
0.75,1,4.532841
0.75,1,4.535334
0.75,1,4.53761
0.75,1,4.539445
0.75,1,4.541471
0.75,1,4.543348
0.75,1,4.545805
0.75,1,4.54799
0.75,1,4.550228
0.75,1,4.552186
0.75,1,4.554469
0.75,1,4.556586
0.75,1,4.55889
0.75,1,4.560916
0.75,1,4.563044
0.75,1,4.565128
0.75,1,4.5669
0.75,1,4.56874
0.75,1,4.570559
0.75,1,4.572351
0.75,1,4.574192
0.75,1,4.576799
0.75,1,4.579113
0.75,1,4.581467
0.75,1,4.58334
0.75,1,4.585495
0.75,1,4.587825
0.75,1,4.589827
0.75,1,4.592135
0.75,1,4.594037
0.75,1,4.596121
0.75,1,4.598648
0.75,1,4.600872
0.75,1,4.60325
0.75,1,4.605427
0.75,1,4.607348
0.75,1,4.608944
0.75,1,4.610848
0.75,1,4.613146
0.75,1,4.615257
0.75,1,4.617226
0.75,1,4.61943
0.75,1,4.622083
0.75,1,4.624108
0.75,1,4.62606
0.75,1,4.628079
0.75,1,4.630791
0.75,1,4.632815
0.75,1,4.634679
0.75,1,4.636622
0.75,1,4.638339
0.75,1,4.640324
0.75,1,4.642244
