,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,system_attrs_fail_reason,state
45,45,0.0,2020-12-24 02:09:35.195070,2020-12-24 02:49:19.019467,0 days 00:39:43.824397,64,100000,False,0.995,0.002564233907757225,big,0.6155705111287533,normal,2000.0,,COMPLETE
46,46,0.75,2020-12-24 02:49:19.038890,2020-12-24 03:27:59.619848,0 days 00:38:40.580958,128,10000,False,0.9,4.8928737162848365e-05,small,0.9344729583373835,ornstein-uhlenbeck,128.0,,COMPLETE
47,47,0.75,2020-12-24 03:27:59.639420,2020-12-24 04:21:15.834849,0 days 00:53:16.195429,64,1000000,True,0.999,0.005789462282044374,medium,0.4924385168523041,ornstein-uhlenbeck,,,COMPLETE
48,48,0.0,2020-12-24 04:21:15.856042,2020-12-24 04:32:10.083143,0 days 00:10:54.227101,100,100000,True,0.95,0.010873933046925046,medium,0.4550390628735421,,,,PRUNED
49,49,0.0,2020-12-24 04:32:10.090688,2020-12-24 04:42:50.104704,0 days 00:10:40.014016,512,100000,False,0.9999,0.06914706786899079,small,0.49771843681896377,normal,16.0,,PRUNED
50,50,0.75,2020-12-24 04:42:50.112018,2020-12-24 05:17:45.073666,0 days 00:34:54.961648,64,1000000,False,0.999,0.001513198319794461,small,0.9887531645132407,,2000.0,,COMPLETE
51,51,7.60566,2020-12-24 05:17:45.094719,2020-12-24 05:53:36.899398,0 days 00:35:51.804679,16,1000000,True,0.999,4.066668413492885e-05,small,0.3000682243040199,normal,,,COMPLETE
52,52,0.75,2020-12-24 05:53:36.918069,2020-12-24 06:43:34.259534,0 days 00:49:57.341465,128,10000,True,0.98,0.1062085155827051,medium,0.2185411911978956,ornstein-uhlenbeck,,,COMPLETE
53,53,0.0,2020-12-24 06:43:34.278507,2020-12-24 07:18:57.630711,0 days 00:35:23.352204,32,100000,False,0.99,0.001866485536783862,big,0.7812031935745437,ornstein-uhlenbeck,1000.0,,COMPLETE
54,54,0.0,2020-12-24 07:18:57.649618,2020-12-24 07:29:46.800542,0 days 00:10:49.150924,100,100000,False,0.9999,0.028189535936037124,big,0.440673299980367,ornstein-uhlenbeck,128.0,,PRUNED
55,55,0.0,2020-12-24 07:29:46.807519,2020-12-24 07:40:13.268703,0 days 00:10:26.461184,32,1000000,False,0.9999,0.43249370891979116,big,0.3143458478245298,normal,2000.0,,PRUNED
56,56,0.75,2020-12-24 07:40:13.276500,2020-12-24 08:15:05.350581,0 days 00:34:52.074081,64,1000000,False,0.9,6.74553596963102e-05,small,0.48978015299498867,normal,256.0,,COMPLETE
57,57,0.75,2020-12-24 08:15:05.368960,2020-12-24 08:50:11.586768,0 days 00:35:06.217808,16,10000,False,0.98,0.004437362335875522,big,0.8251194153019078,normal,256.0,,COMPLETE
58,58,7.551253,2020-12-24 08:50:11.606134,2020-12-24 09:32:28.602064,0 days 00:42:16.995930,32,100000,True,0.98,0.00027401423032288413,medium,0.534983841934403,ornstein-uhlenbeck,,,COMPLETE
59,59,0.0,2020-12-24 09:32:28.620990,2020-12-24 09:43:11.819438,0 days 00:10:43.198448,128,100000,True,0.995,0.109250555288771,big,0.2279939007344104,,,,PRUNED
60,60,0.75,2020-12-24 09:43:11.827138,2020-12-24 10:19:21.656133,0 days 00:36:09.828995,64,10000,False,0.9999,0.0014205348737591043,big,0.19312391703907605,normal,2000.0,,COMPLETE
61,61,0.75,2020-12-24 10:19:21.675677,2020-12-24 11:08:02.151008,0 days 00:48:40.475331,256,100000,True,0.99,0.001471711408963375,big,0.917654223514658,,,,COMPLETE
62,62,0.75,2020-12-24 11:08:02.172017,2020-12-24 11:56:36.236796,0 days 00:48:34.064779,64,1000000,True,0.99,0.9514022377137445,medium,0.7452093023701002,normal,,,COMPLETE
63,63,0.75,2020-12-24 11:56:36.255380,2020-12-24 12:31:34.915574,0 days 00:34:58.660194,32,10000,False,0.9,0.036839136066154785,small,0.5916516845166425,normal,2000.0,,COMPLETE
64,64,0.75,2020-12-24 12:31:34.935154,2020-12-24 13:19:58.276802,0 days 00:48:23.341648,16,10000,True,0.9999,3.173180323699978e-05,big,0.11092241327231966,ornstein-uhlenbeck,,,COMPLETE
65,65,7.749652,2020-12-24 13:19:58.294157,2020-12-24 13:55:24.878538,0 days 00:35:26.584381,256,1000000,True,0.999,1.5923314792988415e-05,small,0.7102066664543968,,,,COMPLETE
66,66,0.75,2020-12-24 13:55:24.910628,2020-12-24 14:30:33.253452,0 days 00:35:08.342824,100,100000,False,0.98,0.7523609274386176,small,0.966659437324728,,16.0,,COMPLETE
67,67,0.75,2020-12-24 14:30:33.271729,2020-12-24 15:06:16.758156,0 days 00:35:43.486427,512,100000,False,0.995,0.00046304822484432364,small,0.9181532983711858,normal,256.0,,COMPLETE
68,68,0.75,2020-12-24 15:06:16.777838,2020-12-24 15:51:21.426463,0 days 00:45:04.648625,512,10000,True,0.995,4.2320790907386805e-05,small,0.4995411623730991,,,,COMPLETE
69,69,0.75,2020-12-24 15:51:21.448384,2020-12-24 16:37:05.560431,0 days 00:45:44.112047,64,10000,True,0.95,0.7239483589105106,medium,0.7492041313337547,ornstein-uhlenbeck,,,COMPLETE
70,70,0.0,2020-12-24 16:37:05.579999,2020-12-24 16:46:22.528766,0 days 00:09:16.948767,16,10000,False,0.95,0.07585729171889592,small,0.6208534442437892,ornstein-uhlenbeck,256.0,,PRUNED
71,71,0.75,2020-12-24 16:46:22.536375,2020-12-24 17:32:12.752228,0 days 00:45:50.215853,64,1000000,False,0.9,0.6619437441317467,big,0.09848746457048074,,1.0,,COMPLETE
72,72,0.75,2020-12-24 17:32:12.771401,2020-12-24 18:17:57.289650,0 days 00:45:44.518249,64,1000000,True,0.99,0.0005586465784972342,big,0.26069734269293665,normal,,,COMPLETE
73,73,0.0,2020-12-24 18:17:57.309052,2020-12-24 18:27:32.763592,0 days 00:09:35.454540,32,100000,False,0.95,0.2950182783836256,medium,0.28657858966626937,normal,16.0,,PRUNED
74,74,0.75,2020-12-24 18:27:32.769199,2020-12-24 19:11:35.819144,0 days 00:44:03.049945,256,10000,True,0.995,0.03939153681445549,medium,0.7619634268748883,normal,,,COMPLETE
75,75,0.75,2020-12-24 19:11:35.837565,2020-12-24 19:56:41.162919,0 days 00:45:05.325354,512,100000,False,0.999,0.09578464874963336,big,0.38268295640854555,ornstein-uhlenbeck,1.0,,COMPLETE
76,76,0.75,2020-12-24 19:56:41.182307,2020-12-24 20:42:26.389817,0 days 00:45:45.207510,64,100000,True,0.99,0.5817989324903947,medium,0.384549323657164,,,,COMPLETE
77,77,0.75,2020-12-24 20:42:26.408857,2020-12-24 21:26:47.506740,0 days 00:44:21.097883,512,100000,True,0.9,0.004050264159386604,small,0.42508423502588055,,,,COMPLETE
78,78,0.75,2020-12-24 21:26:47.526047,2020-12-24 22:11:08.980526,0 days 00:44:21.454479,16,1000000,True,0.98,0.004205477468403853,small,0.9051875017115443,,,,COMPLETE
79,79,6e-06,2020-12-24 22:11:09.000214,2020-12-24 22:21:13.457003,0 days 00:10:04.456789,16,100000,True,0.995,1.3575258688372276e-05,small,0.9936431756315964,normal,,,PRUNED
80,80,0.0,2020-12-24 22:21:13.465089,2020-12-24 22:30:39.789094,0 days 00:09:26.324005,512,100000,False,0.999,0.28177673813481635,big,0.650556068211273,ornstein-uhlenbeck,1000.0,,PRUNED
81,81,0.0,2020-12-24 22:30:39.796021,2020-12-24 22:39:57.023708,0 days 00:09:17.227687,256,10000,True,0.999,0.026822599665735202,medium,0.5961694055243326,ornstein-uhlenbeck,,,PRUNED
82,82,0.0,2020-12-24 22:39:57.033761,2020-12-24 22:49:28.573098,0 days 00:09:31.539337,128,100000,False,0.98,0.015477165543093103,big,0.4882128495966044,normal,2000.0,,PRUNED
83,83,0.75,2020-12-24 22:49:28.581447,2020-12-24 23:22:05.077962,0 days 00:32:36.496515,100,10000,False,0.98,0.004737821266135566,big,0.24548491751262358,normal,1000.0,,COMPLETE
84,84,7.634727,2020-12-24 23:22:05.111240,2020-12-24 23:53:52.702847,0 days 00:31:47.591607,256,1000000,True,0.95,9.074240351807766e-05,big,0.8919636152220988,,,,COMPLETE
85,85,0.0,2020-12-24 23:53:52.734777,2020-12-25 00:03:14.607807,0 days 00:09:21.873030,32,10000,False,0.999,0.012663657128478683,big,0.39377684029052107,,1000.0,,PRUNED
86,86,7.754562,2020-12-25 00:03:14.615865,2020-12-25 00:37:08.816254,0 days 00:33:54.200389,16,10000,True,0.99,0.0038847264555371816,medium,0.6846287409739439,normal,,,COMPLETE
87,87,0.75,2020-12-25 00:37:08.835399,2020-12-25 01:09:01.155161,0 days 00:31:52.319762,32,1000000,False,0.95,0.4897757602107903,medium,0.16940801124108296,,128.0,,COMPLETE
88,88,7.75429,2020-12-25 01:09:01.180185,2020-12-25 01:40:41.598235,0 days 00:31:40.418050,32,100000,False,0.98,0.00041939535875797204,medium,0.7851506838986123,,2000.0,,COMPLETE
89,89,0.75,2020-12-25 01:40:41.622387,2020-12-25 02:11:59.792824,0 days 00:31:18.170437,128,1000000,False,0.999,8.491081932086733e-05,small,0.856244191562722,normal,128.0,,COMPLETE
90,90,0.75,2020-12-25 02:11:59.825002,2020-12-25 02:57:06.126907,0 days 00:45:06.301905,512,100000,True,0.9,0.007779916760120784,medium,0.06719820111415942,ornstein-uhlenbeck,,,COMPLETE
91,91,0.75,2020-12-25 02:57:06.144737,2020-12-25 03:42:56.827545,0 days 00:45:50.682808,100,10000,True,0.999,0.34785474881374046,medium,0.7878559952106813,ornstein-uhlenbeck,,,COMPLETE
92,92,7.332814000000001,2020-12-25 03:42:56.846262,2020-12-25 04:18:15.791133,0 days 00:35:18.944871,128,1000000,True,0.9,0.006053037366242553,small,0.8290999868116622,normal,,,COMPLETE
93,93,0.75,2020-12-25 04:18:15.813460,2020-12-25 05:03:36.389144,0 days 00:45:20.575684,100,10000,True,0.99,0.034384793493244276,medium,0.3351710765475844,normal,,,COMPLETE
94,94,0.75,2020-12-25 05:03:36.410377,2020-12-25 05:47:26.092117,0 days 00:43:49.681740,128,10000,True,0.99,0.017299403250757073,small,0.7940718008685737,,,,COMPLETE
95,95,0.75,2020-12-25 05:47:26.110990,2020-12-25 06:33:17.305646,0 days 00:45:51.194656,100,1000000,False,0.99,0.0595174362192794,big,0.2299514456792201,,1.0,,COMPLETE
96,96,0.75,2020-12-25 06:33:17.324423,2020-12-25 07:17:46.193624,0 days 00:44:28.869201,512,100000,True,0.995,0.7797628873239276,small,0.6358596488099099,ornstein-uhlenbeck,,,COMPLETE
97,97,0.75,2020-12-25 07:17:46.212411,2020-12-25 08:02:36.362663,0 days 00:44:50.150252,512,100000,True,0.995,0.0006278384585741065,small,0.3165726136211051,,,,COMPLETE
98,98,0.75,2020-12-25 08:02:36.383543,2020-12-25 08:48:21.587961,0 days 00:45:45.204418,64,1000000,True,0.9999,0.0031962929623414265,big,0.15498053189473782,ornstein-uhlenbeck,,,COMPLETE
99,99,0.75,2020-12-25 08:48:21.606527,2020-12-25 09:32:24.806596,0 days 00:44:03.200069,16,10000,False,0.98,0.05778944172602412,small,0.5442719544137438,ornstein-uhlenbeck,1.0,,COMPLETE
100,100,7.665666,2020-12-25 09:32:24.823408,2020-12-25 10:05:08.108921,0 days 00:32:43.285513,100,1000000,True,0.99,0.0010582110953255867,big,0.32849381144798717,,,,COMPLETE
